rank,lemma,subtitle_count,band,n_forms_seen
250,zbraň,22395,1,8
251,ráno,22321,1,3
252,chvíľa,22320,1,8
253,poslať,21931,1,18
254,kam,21870,1,1
255,mesto,21787,1,7
256,niekedy,21783,1,1
257,pamätať,21704,1,18
258,hrať,21640,1,23
259,von,21536,1,1
260,príliš,21501,1,1
261,zastaviť,21396,1,22
262,dúfať,21344,1,12
263,týždeň,21290,1,8
264,stáť,21190,1,20
265,rozprávať,21135,1,24
266,rada,21095,1,2
267,úplne,21054,1,1
268,určite,20736,1,1
269,nuž,20704,1,1
270,pod,20574,1,2
271,fajn,20433,1,1
272,pripravený,20385,1,6
273,syn,20351,1,7
274,cez,20242,1,2
275,oko,20028,1,9
276,hora,19994,1,8
277,zmeniť,19932,1,21
278,doktor,19857,1,5
279,u,19817,1,1
280,správa,19780,1,9
281,koniec,19750,1,8
282,vlastný,19624,1,19
283,minúta,19590,1,8
284,koľko,19572,1,3
285,rýchlo,19571,1,1
286,pomoc,19342,1,3
287,predtým,19196,1,1
288,pozerať,19184,1,22
289,medzi,19171,1,1
290,mesiac,18948,1,9
291,smrť,18683,1,3
292,brať,18573,1,24
293,zdať,18543,1,13
294,brat,18502,1,6
295,pani,18277,1,4
296,slovo,18258,1,10
297,správne,18247,1,2
298,škola,18204,1,7
299,myseľ,18161,1,6
300,podľa,18159,1,1
301,stratiť,18144,2,21
302,dvere,18046,2,7
303,otázka,18041,2,9
304,telo,17738,2,9
305,ľúto,17546,2,1
306,dovoliť,17381,2,23
307,veď,17223,2,1
308,zem,17187,2,5
309,zajtra,17138,2,1
310,dobro,17015,2,5
311,šťastný,16930,2,21
312,prejsť,16872,2,21
313,loď,16819,2,8
314,super,16724,2,1
315,ďalej,16676,2,1
316,pohoda,16649,2,4
317,spôsob,16406,2,8
318,proste,16356,2,1
319,dôvod,16354,2,5
320,plán,16346,2,8
321,okej,16335,2,1
322,dole,16261,2,1
323,zle,16229,2,3
324,zlé,16165,2,3
325,zachrániť,16143,2,16
326,aspoň,16106,2,1
327,strana,16080,2,8
328,i,16018,2,1
329,srdce,15929,2,8
330,možný,15662,2,13
331,skôr,15657,2,1
332,peklo,15647,2,5
333,číslo,15551,2,9
334,sestra,15522,2,8
335,oba,15455,2,7
336,láska,15382,2,5
337,ťažký,15244,2,12
338,voda,15201,2,7
339,fakt,15165,2,8
340,spať,15159,2,18
341,pozor,15017,2,3
342,pustiť,14925,2,23
343,dna,14869,2,3
344,riť,14797,2,4
345,porozprávať,14767,2,14
346,priniesť,14687,2,18
347,skutočný,14655,2,16
348,skúsiť,14645,2,18
349,ostatný,14582,2,7
350,hra,14539,2,9
351,čože,14520,2,1
352,úžasný,14509,2,12
353,zlý,14507,2,12
354,proti,14460,2,1
355,nad,14459,2,2
356,dcéra,14411,2,8
357,vypadnúť,14269,2,13
358,odtiaľto,14192,2,1
359,slečna,14135,2,5
360,sledovať,14079,2,17
361,šťastie,14071,2,9
362,fungovať,13988,2,14
363,dôležitý,13986,2,12
364,pýtať,13915,2,20
365,šanca,13897,2,6
366,izba,13844,2,7
367,polícia,13818,2,6
368,stačiť,13746,2,13
369,tvár,13737,2,7
370,existovať,13697,2,18
371,nápad,13680,2,7
372,pokračovať,13452,2,12
373,doma,13439,2,1
374,použiť,13407,2,17
375,kúpiť,13390,2,17
376,znieť,13365,2,13
377,znova,13340,2,1
378,och,13141,2,1
379,pocit,13138,2,7
380,moc,13017,2,4
381,zlatko,12970,2,1
382,chyba,12962,2,9
383,zaujímať,12957,2,19
384,zlato,12896,2,5
385,noha,12861,2,9
386,sedieť,12854,2,19
387,príbeh,12650,2,7
388,stan,12566,2,5
389,krv,12566,2,3
390,okolo,12513,2,1
391,uh,12445,2,1
392,získať,12412,2,19
393,čokoľvek,12257,2,4
394,časť,12181,2,5
395,zas,12154,2,2
396,rozhodnúť,12127,2,15
397,klamať,12108,2,18
398,takýto,12106,2,12
399,zdravie,12101,2,4
400,haló,11968,2,1
401,pekne,11956,2,4
402,začínať,11950,2,15
403,inak,11935,2,2
404,vybrať,11879,2,16
405,skutočne,11874,2,2
406,niektorý,11815,2,11
407,vojna,11814,2,7
408,jedlo,11730,2,7
409,kniha,11730,2,8
410,chytiť,11726,2,18
411,záležať,11713,2,5
412,celkom,11659,2,1
413,nejsť,11644,2,6
414,chýbať,11591,2,12
415,sila,11579,2,9
416,otvoriť,11451,2,19
417,vonku,11417,2,1
418,zmysel,11401,2,12
419,zvládnuť,11365,2,19
420,vražda,11279,2,9
421,zmiznúť,11232,2,16
422,pokiaľ,11230,2,1
423,bežať,11191,2,12
424,ostať,11143,2,18
425,málo,11136,2,6
426,včera,11131,2,1
427,rodič,11103,2,7
428,telefón,11076,2,6
429,čí,11073,2,5
430,doba,10999,2,7
431,co,10949,2,1
432,zničiť,10936,2,18
433,naučiť,10916,2,17
434,kapitán,10910,2,6
435,mladý,10904,2,12
436,bojovať,10901,2,17
437,postarať,10898,2,12
438,manžel,10815,2,7
439,opustiť,10807,2,19
440,zatiaľ,10733,2,1
441,vtedy,10706,2,1
442,spoločnosť,10650,2,6
443,rovnaký,10623,2,12
444,zaplatiť,10611,2,19
445,film,10580,2,7
446,vyhrať,10496,2,19
447,iste,10495,2,1
448,znovu,10442,2,1
449,blízko,10442,2,6
450,rad,10370,2,7
451,predsa,10355,2,1
452,ach,10345,2,2
453,pes,10266,2,8
454,toľko,10229,2,2
455,obchod,10202,2,8
456,dokonca,10170,2,1
457,pochopiť,10149,2,19
